Gender,GenderCode,Age,Height,Weight,HeartRate,ExerciseNameENG,ExerciseNameUKR,ExerciseID,Duration,Calories
male,0,50,184,87,96,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,15,84
male,0,22,190,88,85,Mild stretching,Легка розтяжка,19,16,42
male,0,44,175,73,95,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,14,68
female,1,44,162,60,87,"Walking 3.0 mph, moderate","Ходьба, 5 км/год, помірний темп",31,9,39
male,0,78,184,87,94,"Cycling, <10 mph, leisure bicycling","Велоспорт, <16 км/год, дуже легко",9,11,73
male,0,25,200,99,100,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,23,121
male,0,24,178,81,85,Watering lawn or garden,Полив газону або саду,22,6,15
female,1,22,162,56,82,Watering lawn or garden,Полив газону або саду,22,2,7
female,1,38,169,70,82,Watering lawn or garden,Полив газону або саду,22,1,4
female,1,52,157,56,93,"Stationary cycling, moderate","Стаціонарний велоспорт, помірний режим",25,16,83
male,0,48,191,88,84,Watering lawn or garden,Полив газону або саду,22,8,30
female,1,45,183,72,89,"Walking, under 2.0 mph, very slow","Ходьба, <5 км/год, повільний темп",30,7,31
male,0,43,170,73,106,"Cycling, 16-19 mph, very fast, racing","Велоспорт, 25-30 км/год, дуже швидко",13,28,181
male,0,55,200,99,95,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,26,155
female,1,75,174,77,73,Watering lawn or garden,Полив газону або саду,22,1,3
male,0,62,179,83,87,Watering lawn or garden,Полив газону або саду,22,4,19
female,1,25,161,63,84,Watering lawn or garden,Полив газону або саду,22,2,7
female,1,50,154,62,100,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,22,129
female,1,37,163,57,102,"Running, 7 mph (8.5 min mile)","Біг, 13 км/год",4,23,136
male,0,25,210,111,104,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,22,135
female,1,44,153,56,91,"Walking 3.0 mph, moderate","Ходьба, 5 км/год, помірний темп",31,8,39
male,0,22,197,99,91,"Walking 3.0 mph, moderate","Ходьба, 5 км/год, помірний темп",31,18,68
male,0,24,189,92,88,Watering lawn or garden,Полив газону або саду,22,6,19
female,1,59,168,64,94,"Stationary cycling, light","Стаціонарний велоспорт, легкий режим",24,14,75
female,1,64,166,61,100,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,16,98
male,0,64,184,93,108,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,19,156
male,0,65,186,93,97,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,13,86
male,0,55,194,99,100,"Aerobics, general","Аеробіка, загальна",1,20,134
male,0,27,174,81,77,Watering lawn or garden,Полив газону або саду,22,8,12
male,0,32,188,94,95,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,19,90
male,0,27,171,72,111,"Stationary cycling, very vigorous","Стаціонарний велоспорт, дуже швидкий режим",27,29,186
female,1,39,159,59,100,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,18,102
female,1,23,155,52,94,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,16,78
female,1,41,155,56,96,Stair machine,Тренажер-сходинки,29,20,107
male,0,61,165,79,88,Mild stretching,Легка розтяжка,19,9,43
male,0,25,205,108,99,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,19,101
male,0,25,178,83,112,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,26,175
male,0,27,187,82,101,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,25,128
female,1,53,158,60,87,Unicycling,Їзда на одноколісному велосипеді,17,14,64
male,0,36,194,96,82,Watering lawn or garden,Полив газону або саду,22,8,24
female,1,22,151,50,98,"Calisthenics, light","Кальстеніка, легка",18,7,37
male,0,70,199,103,106,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,21,177
female,1,51,169,70,98,"Calisthenics, light","Кальстеніка, легка",18,9,50
male,0,56,195,94,107,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,21,162
female,1,40,163,63,81,Watering lawn or garden,Полив газону або саду,22,4,14
male,0,71,175,77,80,Watering lawn or garden,Полив газону або саду,22,2,8
male,0,36,184,82,89,"Stationary cycling, very light","Стаціонарний велоспорт, дуже легкий режим",23,13,49
male,0,47,171,75,116,"Running, 9 mph (6.5 min mile)","Біг, 16 км/год",7,29,238
female,1,28,161,64,110,"Stationary cycling, vigorous","Стаціонарний велоспорт, швидкий",26,21,136
female,1,55,164,59,86,"Walking 3.5 mph, brisk pace","Ходьба, 6 км/год, швидкий темп",32,10,45
female,1,28,157,61,90,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,17,75
female,1,20,178,76,107,Stair machine,Тренажер-сходинки,29,25,147
female,1,22,182,74,85,"Walking, under 2.0 mph, very slow","Ходьба, <5 км/год, повільний темп",30,9,32
male,0,28,191,89,106,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,22,134
female,1,23,170,63,99,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,15,79
male,0,23,179,74,89,"Standing, playing with children, light","Стояння, легка гра з дітьми",28,15,44
male,0,70,167,76,97,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,19,123
female,1,60,165,60,88,Watering lawn or garden,Полив газону або саду,22,3,14
female,1,34,149,47,100,"Running, 9 mph (6.5 min mile)","Біг, 16 км/год",7,25,144
female,1,27,172,67,90,Watering lawn or garden,Полив газону або саду,22,4,17
female,1,20,172,70,112,Stair machine,Тренажер-сходинки,29,21,136
male,0,37,189,92,98,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,16,86
male,0,24,184,79,102,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,24,122
female,1,25,161,62,95,"Stationary cycling, light","Стаціонарний велоспорт, легкий режим",24,14,68
male,0,79,190,92,99,Stair machine,Тренажер-сходинки,29,22,166
male,0,30,183,81,88,"Walking, under 2.0 mph, very slow","Ходьба, <5 км/год, повільний темп",30,10,33
female,1,35,173,67,115,"Running, 9 mph (6.5 min mile)","Біг, 16 км/год",7,29,206
female,1,56,160,57,104,"Running, 8 mph (7.5 min mile)","Біг, 14 км/год",5,25,161
male,0,26,204,107,106,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,30,191
female,1,33,153,54,93,"Stationary cycling, light","Стаціонарний велоспорт, легкий режим",24,12,59
male,0,58,207,105,91,"Walking, under 2.0 mph, very slow","Ходьба, <5 км/год, повільний темп",30,8,45
female,1,28,167,66,96,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,12,60
female,1,30,166,58,111,"Cycling, >20 mph, racing","Велоспорт, >30 км/год, перегони",14,28,188
female,1,24,162,62,89,Unicycling,Їзда на одноколісному велосипеді,17,15,63
female,1,52,152,51,97,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,15,86
female,1,57,172,73,86,Watering lawn or garden,Полив газону або саду,22,5,22
male,0,68,203,102,111,Stair machine,Тренажер-сходинки,29,21,190
male,0,39,191,90,88,"Stationary cycling, very light","Стаціонарний велоспорт, дуже легкий режим",23,14,55
male,0,50,185,88,85,Mild stretching,Легка розтяжка,19,11,44
female,1,50,168,67,81,Watering lawn or garden,Полив газону або саду,22,5,19
female,1,33,143,46,84,Mild stretching,Легка розтяжка,19,6,24
female,1,63,167,66,101,"Running, 7 mph (8.5 min mile)","Біг, 13 км/год",4,25,153
female,1,58,170,72,97,"Cycling, <10 mph, leisure bicycling","Велоспорт, <16 км/год, дуже легко",9,11,61
male,0,59,171,83,102,"Running, 6.7 mph (9 min mile)","Біг, 12 км/год",3,27,185
female,1,20,166,66,96,"Walking 3.0 mph, moderate","Ходьба, 5 км/год, помірний темп",31,9,43
female,1,70,166,65,109,"Running, 8.6 mph (7 min mile)","Біг, 15 км/год",6,27,192
male,0,71,198,102,104,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,22,179
female,1,37,153,56,104,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,18,110
female,1,33,177,74,83,Watering lawn or garden,Полив газону або саду,22,4,14
male,0,28,191,91,111,"Running, 6.7 mph (9 min mile)","Біг, 12 км/год",3,30,207
male,0,25,184,88,96,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,19,84
female,1,69,169,72,104,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,20,129
male,0,23,191,82,76,Watering lawn or garden,Полив газону або саду,22,4,5
male,0,60,179,82,95,Watering lawn or garden,Полив газону або саду,22,5,29
male,0,55,181,78,108,"Stationary cycling, vigorous","Стаціонарний велоспорт, швидкий",26,23,171
female,1,29,178,76,99,"Stationary cycling, light","Стаціонарний велоспорт, легкий режим",24,17,88
female,1,30,163,58,92,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,19,89
male,0,50,169,74,113,"Running, 9 mph (6.5 min mile)","Біг, 16 км/год",7,30,236
male,0,36,181,84,93,"Golf, walking and pulling clubs",Гольф,16,17,75
male,0,35,183,86,95,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,17,80
male,0,38,201,101,87,Watering lawn or garden,Полив газону або саду,22,8,32
female,1,40,179,75,101,Stair machine,Тренажер-сходинки,29,26,146
female,1,50,161,58,85,Watering lawn or garden,Полив газону або саду,22,4,17
male,0,26,176,78,107,Stair machine,Тренажер-сходинки,29,25,148
male,0,23,172,75,99,"Aerobics, general","Аеробіка, загальна",1,22,99
female,1,78,159,53,104,"Running, 7 mph (8.5 min mile)","Біг, 13 км/год",4,18,124
male,0,69,180,86,112,"Running, 8.6 mph (7 min mile)","Біг, 15 км/год",6,28,249
male,0,25,181,81,89,Watering lawn or garden,Полив газону або саду,22,2,6
female,1,69,172,70,85,"Walking, under 2.0 mph, very slow","Ходьба, <5 км/год, повільний темп",30,6,27
male,0,33,174,77,83,Watering lawn or garden,Полив газону або саду,22,2,5
male,0,26,198,102,93,"Standing, playing with children, light","Стояння, легка гра з дітьми",28,14,60
female,1,55,161,64,104,"Running, 8.6 mph (7 min mile)","Біг, 15 км/год",6,29,184
male,0,58,194,95,106,Stair machine,Тренажер-сходинки,29,23,176
male,0,36,180,85,109,Stair machine,Тренажер-сходинки,29,23,157
female,1,26,181,73,75,Watering lawn or garden,Полив газону або саду,22,1,3
female,1,20,151,54,109,"Cycling, >20 mph, racing","Велоспорт, >30 км/год, перегони",14,28,179
female,1,63,165,64,90,Unicycling,Їзда на одноколісному велосипеді,17,13,65
female,1,73,176,70,97,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,18,105
female,1,21,169,61,103,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,22,125
male,0,46,172,71,99,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,20,110
male,0,46,176,75,91,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,16,70
female,1,24,177,76,96,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,19,91
male,0,35,181,82,105,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,23,141
male,0,24,172,72,87,Watering lawn or garden,Полив газону або саду,22,5,13
female,1,20,166,58,90,Unicycling,Їзда на одноколісному велосипеді,17,14,60
male,0,61,186,89,101,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,27,187
male,0,30,168,70,78,Watering lawn or garden,Полив газону або саду,22,4,6
male,0,22,182,82,106,Stair machine,Тренажер-сходинки,29,27,152
female,1,59,153,55,85,Watering lawn or garden,Полив газону або саду,22,2,9
female,1,26,180,73,99,Unicycling,Їзда на одноколісному велосипеді,17,14,72
female,1,54,158,60,95,Walking 4.5 mph,"Ходьба, 7 км/год, дуже швидкий темп",33,14,76
female,1,30,169,69,89,"Walking, under 2.0 mph, very slow","Ходьба, <5 км/год, повільний темп",30,6,25
male,0,43,181,80,97,"Walking 3.0 mph, moderate","Ходьба, 5 км/год, помірний темп",31,10,53
female,1,40,172,70,94,"Walking 3.5 mph, brisk pace","Ходьба, 6 км/год, швидкий темп",32,11,54
male,0,56,182,87,101,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,22,146
female,1,21,184,72,98,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,18,90
female,1,22,155,51,111,"Running, 10.9 mph (5.5 min mile)","Біг, 17 км/год",8,29,194
male,0,71,174,79,98,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,19,128
male,0,33,185,91,91,"Walking 3.5 mph, brisk pace","Ходьба, 6 км/год, швидкий темп",32,17,70
male,0,20,196,92,91,Mild stretching,Легка розтяжка,19,13,46
male,0,76,198,109,92,"Golf, walking and pulling clubs",Гольф,16,14,94
male,0,51,181,87,85,"Walking, under 2.0 mph, very slow","Ходьба, <5 км/год, повільний темп",30,10,40
male,0,20,163,69,78,Watering lawn or garden,Полив газону або саду,22,2,2
female,1,73,163,58,89,Mild stretching,Легка розтяжка,19,6,31
male,0,23,188,89,103,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,16,86
female,1,20,168,67,82,Watering lawn or garden,Полив газону або саду,22,5,17
female,1,22,167,67,95,"Stationary cycling, moderate","Стаціонарний велоспорт, помірний режим",25,21,100
female,1,36,175,67,103,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,23,135
female,1,73,157,58,79,Watering lawn or garden,Полив газону або саду,22,2,8
male,0,24,169,73,75,Watering lawn or garden,Полив газону або саду,22,3,3
male,0,27,190,90,106,Stair machine,Тренажер-сходинки,29,28,170
female,1,45,150,52,85,"Walking 3.0 mph, moderate","Ходьба, 5 км/год, помірний темп",31,8,34
male,0,73,176,81,102,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,22,165
male,0,54,176,80,95,"Aerobics, general","Аеробіка, загальна",1,20,110
female,1,38,170,70,91,"Cycling, <10 mph, leisure bicycling","Велоспорт, <16 км/год, дуже легко",9,13,59
female,1,20,173,69,95,"Stationary cycling, light","Стаціонарний велоспорт, легкий режим",24,17,80
male,0,42,190,88,79,Watering lawn or garden,Полив газону або саду,22,2,5
female,1,60,171,70,85,Watering lawn or garden,Полив газону або саду,22,5,22
male,0,73,187,84,81,Watering lawn or garden,Полив газону або саду,22,3,13
female,1,22,189,82,93,Unicycling,Їзда на одноколісному велосипеді,17,19,82
female,1,60,157,54,87,"Stationary cycling, very light","Стаціонарний велоспорт, дуже легкий режим",23,7,33
female,1,32,153,51,101,"Aerobics, general","Аеробіка, загальна",1,12,69
male,0,21,171,73,91,"Golf, walking and pulling clubs",Гольф,16,20,63
male,0,41,174,74,80,Watering lawn or garden,Полив газону або саду,22,4,10
male,0,66,164,71,100,Stair machine,Тренажер-сходинки,29,20,133
male,0,50,171,77,111,"Running, 8.6 mph (7 min mile)","Біг, 15 км/год",6,29,222
female,1,59,132,40,92,"Aerobics, general","Аеробіка, загальна",1,10,55
female,1,74,144,51,90,Mild stretching,Легка розтяжка,19,5,27
female,1,22,170,62,105,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,21,124
male,0,41,185,88,97,"Stationary cycling, light","Стаціонарний велоспорт, легкий режим",24,19,101
female,1,24,155,55,109,"Cross country skiing, uphill","Лижні перегони, вгору",20,30,193
male,0,23,167,69,102,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,22,106
male,0,33,191,90,105,"Stationary cycling, moderate","Стаціонарний велоспорт, помірний режим",25,21,130
male,0,27,188,84,87,Watering lawn or garden,Полив газону або саду,22,6,18
male,0,59,190,99,107,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,25,199
male,0,41,187,93,105,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,23,153
male,0,44,214,113,85,Watering lawn or garden,Полив газону або саду,22,3,13
male,0,66,199,100,98,"Stationary cycling, light","Стаціонарний велоспорт, легкий режим",24,17,118
female,1,26,161,56,109,"Cycling, 16-19 mph, very fast, racing","Велоспорт, 25-30 км/год, дуже швидко",13,21,136
male,0,29,179,83,96,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,28,126
male,0,34,183,82,84,Watering lawn or garden,Полив газону або саду,22,3,9
male,0,60,173,82,104,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,24,172
female,1,22,164,62,112,"Running, 8.6 mph (7 min mile)","Біг, 15 км/год",6,27,179
male,0,20,184,83,90,Watering lawn or garden,Полив газону або саду,22,7,22
male,0,64,171,77,80,Watering lawn or garden,Полив газону або саду,22,6,22
female,1,78,177,76,101,Stair machine,Тренажер-сходинки,29,22,138
female,1,56,153,52,97,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,16,92
male,0,20,179,77,97,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,23,94
female,1,50,163,60,100,Stair machine,Тренажер-сходинки,29,19,112
male,0,36,179,82,103,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,25,147
female,1,27,155,58,114,"Cross country skiing, uphill","Лижні перегони, вгору",20,28,196
male,0,38,200,99,100,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,16,94
male,0,25,175,75,86,Watering lawn or garden,Полив газону або саду,22,9,24
male,0,64,186,92,102,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,21,153
male,0,28,185,87,95,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,24,105
male,0,26,192,90,109,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,17,110
male,0,56,192,90,85,Watering lawn or garden,Полив газону або саду,22,3,13
female,1,55,174,68,76,Watering lawn or garden,Полив газону або саду,22,2,7
female,1,23,154,58,90,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,16,70
female,1,65,151,52,105,"Running, 8 mph (7.5 min mile)","Біг, 14 км/год",5,21,142
male,0,44,196,95,83,Watering lawn or garden,Полив газону або саду,22,3,11
male,0,20,180,80,82,Watering lawn or garden,Полив газону або саду,22,6,11
male,0,52,185,86,98,Stair machine,Тренажер-сходинки,29,26,155
female,1,41,159,57,93,"Stationary cycling, moderate","Стаціонарний велоспорт, помірний режим",25,17,85
female,1,34,173,67,94,Unicycling,Їзда на одноколісному велосипеді,17,14,68
male,0,65,185,92,102,Stair machine,Тренажер-сходинки,29,24,176
female,1,37,174,69,104,"Running, 6.7 mph (9 min mile)","Біг, 12 км/год",3,26,155
female,1,25,160,54,86,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,13,52
male,0,29,189,91,91,Watering lawn or garden,Полив газону або саду,22,3,12
female,1,24,179,68,101,Walking 4.5 mph,"Ходьба, 7 км/год, дуже швидкий темп",33,16,87
female,1,27,174,77,112,"Stationary cycling, very vigorous","Стаціонарний велоспорт, дуже швидкий режим",27,30,195
male,0,41,187,88,110,"Running, 7 mph (8.5 min mile)","Біг, 13 км/год",4,29,212
male,0,36,191,93,98,"Golf, walking and pulling clubs",Гольф,16,15,80
male,0,26,197,90,104,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,24,137
male,0,53,183,84,103,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,22,148
male,0,68,192,100,102,"Cycling, <10 mph, leisure bicycling","Велоспорт, <16 км/год, дуже легко",9,11,84
female,1,41,172,61,102,"Running, 8 mph (7.5 min mile)","Біг, 14 км/год",5,28,166
male,0,30,184,79,95,"Walking 3.0 mph, moderate","Ходьба, 5 км/год, помірний темп",31,12,52
male,0,20,174,74,108,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,27,153
female,1,21,174,66,94,"Stationary cycling, very light","Стаціонарний велоспорт, дуже легкий режим",23,9,42
male,0,44,172,79,86,Watering lawn or garden,Полив газону або саду,22,6,22
female,1,49,173,72,87,Mild stretching,Легка розтяжка,19,8,34
female,1,33,161,57,99,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,18,99
male,0,78,175,76,102,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,21,160
male,0,79,177,83,88,"Golf, walking and pulling clubs",Гольф,16,13,74
male,0,63,203,111,92,"Golf, walking and pulling clubs",Гольф,16,16,98
female,1,22,153,57,81,Watering lawn or garden,Полив газону або саду,22,1,3
male,0,23,185,82,102,Walking 4.5 mph,"Ходьба, 7 км/год, дуже швидкий темп",33,21,107
male,0,21,197,100,97,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,21,97
male,0,39,175,81,86,"Walking 3.0 mph, moderate","Ходьба, 5 км/год, помірний темп",31,16,55
female,1,22,169,64,100,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,19,101
male,0,36,192,90,83,Watering lawn or garden,Полив газону або саду,22,10,30
female,1,27,171,62,87,Watering lawn or garden,Полив газону або саду,22,5,20
female,1,25,171,60,112,"Running, 8 mph (7.5 min mile)","Біг, 14 км/год",5,25,168
male,0,24,178,77,76,Watering lawn or garden,Полив газону або саду,22,1,1
female,1,72,184,79,110,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,23,163
male,0,39,175,79,99,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,22,118
male,0,55,191,95,99,Walking 4.5 mph,"Ходьба, 7 км/год, дуже швидкий темп",33,19,123
female,1,25,169,67,96,"Stationary cycling, light","Стаціонарний велоспорт, легкий режим",24,15,74
male,0,20,183,80,103,"Aerobics, general","Аеробіка, загальна",1,21,106
female,1,22,156,54,92,Watering lawn or garden,Полив газону або саду,22,3,14
male,0,24,203,103,93,"Walking, under 2.0 mph, very slow","Ходьба, <5 км/год, повільний темп",30,11,47
female,1,71,155,56,90,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,10,52
male,0,79,190,94,106,"Cycling, 16-19 mph, very fast, racing","Велоспорт, 25-30 км/год, дуже швидко",13,27,234
male,0,50,191,95,94,"Stationary cycling, very light","Стаціонарний велоспорт, дуже легкий режим",23,11,60
male,0,23,185,84,101,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,21,105
male,0,66,184,86,106,"Running, 6.7 mph (9 min mile)","Біг, 12 км/год",3,25,196
male,0,74,212,115,109,Stair machine,Тренажер-сходинки,29,23,214
male,0,49,198,105,94,"Stationary cycling, very light","Стаціонарний велоспорт, дуже легкий режим",23,12,68
male,0,24,193,96,105,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,25,147
male,0,48,195,94,100,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,14,88
male,0,20,198,104,106,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,30,181
male,0,33,190,95,89,"Stationary cycling, very light","Стаціонарний велоспорт, дуже легкий режим",23,15,58
female,1,44,171,70,105,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,17,105
female,1,74,186,80,92,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,15,78
male,0,37,185,84,97,"Golf, walking and pulling clubs",Гольф,16,15,76
male,0,28,195,94,100,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,17,90
male,0,38,182,88,91,"Calisthenics, light","Кальстеніка, легка",18,15,64
male,0,28,183,88,86,Watering lawn or garden,Полив газону або саду,22,4,12
male,0,30,205,114,114,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,22,174
male,0,53,197,98,81,Watering lawn or garden,Полив газону або саду,22,2,7
female,1,62,166,67,84,Watering lawn or garden,Полив газону або саду,22,3,13
female,1,46,169,72,86,Watering lawn or garden,Полив газону або саду,22,4,17
female,1,35,161,57,94,Unicycling,Їзда на одноколісному велосипеді,17,12,60
female,1,61,154,55,95,"Stationary cycling, moderate","Стаціонарний велоспорт, помірний режим",25,14,78
male,0,45,192,95,94,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,17,89
female,1,53,155,52,97,"Cycling, 16-19 mph, very fast, racing","Велоспорт, 25-30 км/год, дуже швидко",13,23,131
female,1,20,148,54,73,Watering lawn or garden,Полив газону або саду,22,4,10
male,0,73,186,93,107,"Stationary cycling, vigorous","Стаціонарний велоспорт, швидкий",26,24,204
male,0,38,170,75,95,"Golf, walking and pulling clubs",Гольф,16,14,65
female,1,28,157,57,85,Mild stretching,Легка розтяжка,19,8,31
female,1,37,163,59,109,"Running, 6.7 mph (9 min mile)","Біг, 12 км/год",3,20,132
female,1,23,168,60,94,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,22,105
female,1,38,167,61,106,"Stationary cycling, very vigorous","Стаціонарний велоспорт, дуже швидкий режим",27,25,157
male,0,40,196,102,91,Watering lawn or garden,Полив газону або саду,22,5,23
male,0,28,172,81,113,"Stationary cycling, vigorous","Стаціонарний велоспорт, швидкий",26,25,174
female,1,70,156,55,86,"Golf, walking and pulling clubs",Гольф,16,10,48
female,1,42,177,75,95,"Stationary cycling, moderate","Стаціонарний велоспорт, помірний режим",25,21,105
female,1,24,165,66,90,"Ballet, twist, jazz, tap","Балет, твіст, джаз, чечітка",2,14,60
female,1,21,157,54,101,Stair machine,Тренажер-сходинки,29,19,105
female,1,63,158,61,106,"Cycling, >20 mph, racing","Велоспорт, >30 км/год, перегони",14,30,202
female,1,27,161,58,91,"Cycling, 10-11.9 mph, light","Велоспорт, 16-19 км/год, легкий",10,16,73
female,1,52,169,71,100,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,19,109
female,1,59,157,58,96,"Cycling, mountain bike, bmx","Велоспорт, гірський велосипед, BMX",15,18,101
female,1,24,165,62,83,Watering lawn or garden,Полив газону або саду,22,4,14
male,0,44,180,79,100,"Climbing hills, carrying 10 to 20 lb",Підйом в гору з переносом 5-10 кг,21,21,120
male,0,31,182,87,115,"Running, 7 mph (8.5 min mile)","Біг, 13 км/год",4,27,204
female,1,51,162,59,82,Watering lawn or garden,Полив газону або саду,22,2,8
male,0,42,179,82,85,"Stationary cycling, very light","Стаціонарний велоспорт, дуже легкий режим",23,15,52
female,1,29,159,63,111,"Running, 8.6 mph (7 min mile)","Біг, 15 км/год",6,27,179
male,0,23,192,91,108,Stair machine,Тренажер-сходинки,29,27,167
male,0,29,190,94,76,Watering lawn or garden,Полив газону або саду,22,4,7
male,0,25,192,87,99,Unicycling,Їзда на одноколісному велосипеді,17,18,87
male,0,52,183,89,72,Watering lawn or garden,Полив газону або саду,22,4,8
male,0,71,183,84,97,"Stationary cycling, light","Стаціонарний велоспорт, легкий режим",24,14,94
female,1,79,167,61,82,Watering lawn or garden,Полив газону або саду,22,5,22
female,1,60,163,59,102,"Running, 8.6 mph (7 min mile)","Біг, 15 км/год",6,28,176
female,1,30,158,53,100,"Stationary cycling, very vigorous","Стаціонарний велоспорт, дуже швидкий режим",27,24,135
